时间,标签,事件,内容
2020.02.29,すべてお知らせ,通常ショップ、限定ショップのラインナップを更新！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00から通常ショップと限定ショップのラインナップを一部変更いたしました。…
2020.02.29,お知らせイベント,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00から「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを開…
2020.02.29,すべてお知らせアップデート,アップデートのお知らせ【2020/03/02(月),12:20追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2020.02.29,すべてお知らせ,「ベリーハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)05:00から「ベリーハードクエスト」ドロップ量2倍キャンペーンを開始しました！…
2020.02.29,すべてお知らせ,「2月クランバトル」開催期間終了！【2020/02/29(土),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/28(金)23:59に、「2月クランバトル」の開催期間が終了しました。クランランキングの…
2020.02.29,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2020.02.26,お知らせ,「ぷりこねっ！りだいぶ」第166話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第166話を掲載しました！■4コマ「…
2020.02.26,すべてお知らせアップデート,アップデートのお知らせ【2020/02/27(木),17:15追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/26(水)15:00にアップデートを行いました。※強制アップデートは、2020/02/2…
2020.02.25,すべてお知らせ,スペシャルフェスガチャ画面内の表示について【2020/02/28(金),21:00追記】プリンセスコネクト！Re:Dive運営事務局です。スペシャルフェスガチャの画面内において「おまけでメモリーピースが獲得できる」旨が表示される不具合が発生してお…
2020.02.25,すべてイベント,ストーリーイベント「スターライトプリンセス,Re:M@STER！」開催決定！プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00から、ストーリーイベント「スターライトプリンセスRe:M@STER！…
2020.02.25,すべてお知らせ,「復刻限定キャラ,プライズガチャ」開催！期間限定キャラ再登場！プリンセスコネクト！Re:Dive運営事務局です。2020/02/25(火)12:00から「復刻限定キャラプライズガチャ」を開催中です！また、期間限定キ…
2020.02.23,すべてお知らせ,「2月クランバトル」開催中！【2020/02/23(日),17:45追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/23(日)05:00から「2月クランバトル」を開催中です！■開催期間2020/02/2…
2020.02.22,すべてお知らせイベント,復刻ストーリーイベント「バトルオブバレンタイン！,想いぶつかるスウィートバトル」開催終了！プリンセスコネクト！Re:Dive運営事務局です。2020/02/22(土)21:00に、復刻ストーリーイベント「バトルオブバレンタイン！想いぶつかるスウ…
2020.02.23,すべてお知らせ,「ジュエル・その他購入」に「毎日更新,ジュエル500個」を期間限定で追加！プリンセスコネクト！Re:Dive運営事務局です。2020/02/23(日)12:00から「ジュエル・その他購入」に「毎日更新ジュエル500個」を期間限…
2020.02.23,すべてお知らせ,「ハードクエスト」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/23(日)05:00から「ハードクエスト」ドロップ量3倍キャンペーンを開始しました！！キ…
2020.02.21,お知らせ,「バトルオブバレンタイン！,想いぶつかるスウィートバトル復刻記念RTキャンペーン」開催プリンセスコネクト！Re:Dive運営事務局です。ストーリーイベント「バトルオブバレンタイン！想いぶつかるスウィートバトル」の復刻を記念して「バトルオブバレ…
2020.02.23,すべてお知らせ,マスターコイン獲得量＆獲得上限数1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/23(日)05:00からマスターコイン獲得量＆獲得上限数1.5倍キャンペーンを開始しました…
2020.02.21,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/21(金)05:00から「聖跡調査」「神殿調査」ドロップ量3倍キャンペーンを開始しました。…
2020.02.21,お知らせ,「ぷりこねっ！りだいぶ」第165話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第165話を掲載しました！■4コマ「…
2020.02.19,すべてお知らせ,「2月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/23(日)05:00から「2月クランバトル」を開催します！また、今回のクランバトルでは、…
2020.02.20,すべてお知らせアップデート,アップデートのお知らせ【2020/02/20(木),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/02/20(木)12:00にアップデートを行いました。※強制アップデートは、2020/02/2…
2020.02.19,すべてお知らせ,2020年3月のアップデートについて,プリンセスコネクト！Re:Dive運営事務局です。いつもプリンセスコネクト！Re:Diveをご利用いただき、ありがとうございます。開発スケジュール調整のため…
2020.02.20,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/20(木)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2020.02.19,すべてお知らせアップデート,アップデートのお知らせ【2020/02/19(水),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/02/19(水)12:00にアップデートを行いました。※強制アップデートは、2020/02/2…
2020.02.18,すべてお知らせメンテナンス,2020/02/18(火),メンテナンス終了のお知らせプリンセスコネクト！Re:Dive運営事務局です。下記の期間にて、バトルアリーナにおけるグループのシャッフル、およびランキングの順位リセットのために実施してい…
2020.02.13,すべてお知らせメンテナンス,メンテナンス実施およびバトルアリーナにおけるグループのシャッフル、ランキングの順位リセットのお知らせ【2020/02/15(土),11:45追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/18(火)11:30から、メンテナンスを実施いたします。本メンテナンスでは、バトルアリー…
2020.02.17,すべてお知らせ,バトルアリーナのグループシャッフル＆ランキングリセットの予告情報を公開！,プリンセスコネクト！Re:Dive運営事務局です。先日の生放送でも告知しました、バトルアリーナのグループのシャッフル、およびランキングの順位リセットを明日、2…
2020.02.17,お知らせ,「ぷりこねっ！りだいぶ」第164話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第164話を掲載しました！■4コマ「…
2020.02.16,お知らせ,「2nd,Anniversary記念RTキャンペーン」開催！！プリンセスコネクト！Re:Dive運営事務局です。2020/02/16(日)18:00から「2ndAnniversary記念RTキャンペーン」を開催しま…
2020.02.16,すべてお知らせ,「2月クランバトル」モード変更開始！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/16(日)12:00から、2月クランバトルのモード変更期間です。■モード変更および選択に…
2020.02.15,すべてお知らせ,「2nd,Anniversaryキャンペーン」開催！！【2020/02/18(火)15:15追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/15(土)05:00から「2ndAnniversaryキャンペーン」を開催します！2…
2020.02.15,すべてお知らせ,プリンセスフェスガチャ開催！！限定キャラ「ペコリーヌ（プリンセス）」登場＆おまけ付き！【2020/02/17,14:40追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/15(土)15:00から「プリンセスフェスガチャ」を開催中です！！プリンセスフェスガチャ…
2020.02.15,すべてお知らせ,「スペシャル,キャラ交換ガチャセット」期間限定で販売開始！【2020/02/17(月)18:15追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/15(土)15:00から「ジュエル・その他購入」画面のスペシャルショップに、先日の生放送に…
2020.02.15,すべてお知らせ,「★3確定プラチナガチャ」開催！対象キャラにはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/15(土)15:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
2020.02.15,すべてお知らせ,「アイテム装備パック」2種が新登場！さらに4種の「アイテム装備パック」を再販売！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/15(土)15:00から「ジュエル・その他購入」のスペシャルショップに「アイテム装備パック…
